time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00116,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00211,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00313,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00413,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00513,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00626,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00713,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00815,0,0,0,5.40999,7.44,61.63999,0.141,-0.451,-0.248
0.00913,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.0102,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01115,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01213,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01315,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01413,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.0152,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01613,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01714,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01811,0,0,0,5.34999,7.44,61.63999,0.137,-0.449,-0.248
0.01911,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02011,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02111,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02211,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02311,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02411,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02511,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02611,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02711,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02811,0,0,0,5.31999,7.37999,61.62999,0.136,-0.448,-0.249
0.02911,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03011,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03111,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03211,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03311,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03411,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03511,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03611,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03711,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03811,0,0,0,5.32999,7.39999,61.61999,0.136,-0.449,-0.248
0.03911,0,0,0,5.38,7.42999,61.61999,0.137,-0.451,-0.249
