surfaceAngle_deg_,force_x,force_y,force_z,moment_x,moment_y,moment_z,count
-20,0.384757230416724,-0.102647639999976,-4.6375973237476,0.0123623258333303,0.00119197083334344,-0.0180946874999911,8000
-18,0.378536075416612,-0.157256328749837,-4.6884370699987,0.0112563395833302,0.00104829583334121,-0.0194977837499972,8000
-16,0.404673316666694,-0.101316477499858,-4.61416057874717,0.0111622145833338,0.00283390833333835,-0.0142819874999994,8000
-14,0.418076040416737,-0.133024914999915,-4.66291459999817,0.0121336533333304,0.00172273583333976,-0.0151804150000033,8000
-12,0.414948695416741,-0.0798688087499642,-4.65046458249897,0.0124494395833301,0.00242417333333972,-0.0134133799999992,8000
-10,0.377246030416656,-0.103873908749884,-4.60502102249718,0.010484478333331,0.00443715833333608,-0.00991260875000213,8000
-8,0.405612255416747,-0.0869159137499214,-4.61682224999817,0.0110589308333309,0.00382821958334417,-0.00975776250000307,8000
-6,0.447474709166701,-0.0934701537499425,-4.65473327374757,0.0125470895833324,0.00295615833333723,-0.0113182499999994,8000
-4,0.443974731666653,-0.0715514424998878,-4.52331084499775,0.0111433933333312,0.00512594583334153,-0.00406997624999969,8000
-2,0.434171059640859,-0.0901211641173036,-4.62109329404464,0.0105127832387062,0.00392720795549772,-0.00764089551846539,7609
0,0.47307832791662,-0.0982213674998507,-4.52230323624821,0.0127196283333302,0.00525449583334148,-0.000512610000001357,8000
2,0.492565974166617,-0.0986212399998498,-4.53976966124695,0.0129486283333329,0.00578903333334535,-0.00165286749999821,8000
4,0.441049992916738,-0.072087533749861,-4.56024984249801,0.0111122895833305,0.00560007333334178,-0.00249559000000019,8000
6,0.403811170416704,-0.0908324137498138,-4.61388081749821,0.00956756583333168,0.00263922208334844,-0.00339794750000275,8000
8,0.410138499166681,-0.133614978749859,-4.62839313499841,0.0105656033333301,0.00405587333333618,-0.00379892124999601,8000
10,0.391930173680709,-0.145704030635253,-4.51070459618673,0.0106038774121088,0.00578712748835658,0.00392666836086583,7870
12,0.382411021666671,-0.121310152499919,-4.51463595124731,0.0104027033333303,0.00529975833333812,0.0031476387500031,8000
14,0.440076040416687,-0.165323804999882,-4.52455726499839,0.0110079783333305,0.00580803333334096,0.000681010000001925,8000
16,0.410659766666707,-0.188066389999811,-4.42701326124909,0.00893247708333084,0.00641023583334521,0.00382307500000137,8000
18,0.371462487916802,-0.164281086249956,-4.37372340749823,0.00673758958333012,0.00542289583334365,0.00718456250000071,8000
20,0.376868450416679,-0.193739916249847,-4.30500099624868,0.00545596583333127,0.00564739708334783,0.00913452500000334,8000
