time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00126,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00228,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00325,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00432,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00526,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00627,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00724,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00824,0,0,0.05199,3,6.08999,63.93999,0.036,-0.41,-0.203
0.00924,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01024,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01124,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01224,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01324,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01424,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01524,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01624,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01724,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01824,0,0,0.05199,3.13999,6.19,63.93,0.039,-0.413,-0.20099
0.01924,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02024,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02124,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02224,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02324,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02424,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02524,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02624,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02724,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02824,0,0,0.05199,3.11999,6.19999,63.89999,0.039,-0.414,-0.2
0.02924,0,0,0.05299,3.05999,6.11999,63.90999,0.036,-0.413,-0.20099
