time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00033,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00127,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00234,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00328,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00436,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00528,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.0063,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00727,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00835,0,0,0.172,0.59999,-0.34,42.61,-0.223,-0.305,-0.008
0.00927,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.0103,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01128,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01229,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01326,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01426,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01526,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01626,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01726,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01826,0,0,0.172,0.51999,-0.30999,42.56999,-0.222,-0.301,-0.008
0.01926,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02026,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02126,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02226,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02326,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02426,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02526,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02626,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02726,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02826,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.02926,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03026,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03126,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03226,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03326,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03426,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03526,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03626,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03726,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03826,0,0,0.172,0.47999,-0.26999,42.54999,-0.222,-0.3,-0.008
0.03926,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04026,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04126,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04226,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04326,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04426,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04526,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04626,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04726,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04826,0,0,0.172,0.52999,-0.37,42.93999,-0.214,-0.30299,-0.007
0.04926,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05026,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05126,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05226,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05326,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05426,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05526,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05626,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05726,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05826,0,0,0.172,0.58999,-0.30999,42.81999,-0.215,-0.30299,-0.006
0.05926,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06026,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06126,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06226,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06326,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06426,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
0.06526,0,0,0.172,0.52999,-0.17999,42.56999,-0.218,-0.30299,-0.007
