surfaceAngle_deg_,force_x,force_y,force_z,moment_x,moment_y,moment_z,count
-20,0.487213609999947,0.0387550120833007,-4.59665301333204,0.00856621000000196,-0.00630865708332679,-0.0373035058333364,8000
-18,0.605427517499959,0.0712924183333623,-4.61346775333186,0.0126831150000017,-0.00171275708332835,-0.0389503458333366,8000
-16,0.479791062500027,-0.0341826891666717,-4.64520915583237,0.0104036487500016,-0.00170909583333401,-0.033835188333336,8000
-14,0.483569832500015,-0.13299504166652,-4.65627566583257,0.0129963787499999,0.000899817916663825,-0.0275048708333326,8000
-12,0.459143912499985,-0.0683022391666288,-4.75495662583268,0.0124523475000017,-0.000927845833328667,-0.0328405583333352,8000
-10,0.426182113749942,-0.0448538554166138,-4.79686923083325,0.0113409362500023,-0.00084503208332859,-0.0325519283333377,8000
-8,0.275526108750004,-0.248832596666671,-4.73954523958236,0.00999098500000131,0.00369047791667521,-0.0175851820833411,8000
-6,0.175207488750032,-0.300605025416634,-4.75136765583293,0.00785577125000007,0.00259139166667138,-0.0157683583333394,8000
-4,0.243804966250011,-0.32279131166661,-4.74004894458312,0.00838447499999999,0.00292805666667401,-0.0139746458333363,8000
-2,0.217366206249977,-0.402385947916705,-4.68813904958303,0.00796255625000127,0.00513502916667619,-0.00986214458333751,8000
0,0.130091615675446,-0.564535819456011,-4.66499291793583,0.00782906515288359,0.0100113009848291,-0.00032524637681508,7751
2,0.134357687500045,-0.616509597916657,-4.58653780458312,0.00843358750000145,0.013382405416674,0.00535239416666547,8000
4,0.04781636874998,-0.591173449166725,-4.63839565583262,0.00135222500000065,0.00990073166667371,0.000603266666659885,8000
6,0.134207360236159,-0.458510098058299,-4.64820618564678,0.00441505877920224,0.0100340539060613,-0.00390091132881662,7962
8,-0.0444099599999319,-0.548624924166679,-4.56793305583304,-0.000524463749999246,0.0107833429166747,0.00486255666666152,8000
10,-0.00996994374997584,-0.562624710416639,-4.57475790333215,-0.00187836249999936,0.010939981666678,0.00237905666666136,8000
12,-0.0636499375000241,-0.622078810416722,-4.49728438083236,-0.00228707749999847,0.0104296779166738,0.00910981916666537,8000
14,-0.146093446250006,-0.698972145416657,-4.51472411208264,-0.00506093875000002,0.0124462679166672,0.0111767079166626,8000
16,-0.19351591125001,-0.718088419166694,-4.46300886083272,-0.00523283749999924,0.0124758191666681,0.0148004079166646,8000
18,-0.208449960000013,-0.776523499166702,-4.42127594208137,-0.00683457749999794,0.0130724341666694,0.0164668691666657,8000
20,-0.240163557499997,-0.752666831666679,-4.35520702708264,-0.00852242374999947,0.0115688779166695,0.0237127304166659,8000
