time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.0723,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.0733,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.07429,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.0753,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.0763,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.0773,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.07829,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.07929,0,0,0.04699,2.27999,5.34999,62.73999,0.06599,-0.398,-0.2
0.0803,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0813,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0823,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0833,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.08429,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0853,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0863,0,0,0.04699,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0873,0,0,0.045,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.08829,0,0,0.045,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.0893,0,0,0.045,2.27999,5.4,62.73999,0.06599,-0.398,-0.20099
0.09029,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0913,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0923,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0933,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0943,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0953,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0963,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0973,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0983,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.0993,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.10033,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1013,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1023,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1033,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1043,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1053,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1063,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1073,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.10829,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1093,0,0,0.045,2.25999,5.38,62.72999,0.065,-0.399,-0.2
0.1103,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1113,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1123,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1133,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1143,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1153,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1163,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1173,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1183,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1193,0,0,0.045,2.35999,5.40999,62.70999,0.064,-0.399,-0.199
0.1203,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1213,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1223,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1233,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1243,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
0.1253,0,0,0.045,2.28999,5.40999,62.68999,0.064,-0.398,-0.20099
