time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),,,,,,,,,
0.00138,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.0023,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00333,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00431,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00533,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00631,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00737,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00831,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.00932,0,0,0.08399,2.86999,5.90999,64.26,0.012,-0.40199,-0.194,,,,,,,,,
0.01029,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01129,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01229,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01329,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01429,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01529,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01629,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01729,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01829,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.01929,0,0,0.08399,2.98999,6.01999,64.25,0.01399,-0.403,-0.194,,,,,,,,,
0.02029,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02129,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02229,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02329,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02429,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02529,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02629,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02729,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02829,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
0.02929,0,0,0.08399,2.96,6.12999,64.25,0.016,-0.40399,-0.194,,,,,,,,,
