time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00124,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00214,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00317,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00414,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00517,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00614,0,0,0,6.73999,8.13999,60.63999,0.175,-0.489,-0.273
0.00721,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.00814,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.00915,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01012,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01112,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01212,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01314,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01412,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01512,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01612,0,0,0,6.67999,8.13,60.61999,0.175,-0.487,-0.274
0.01712,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.01812,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.01912,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02012,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02112,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02212,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02312,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02412,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02512,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02612,0,0,0,6.57999,8.03999,60.68,0.176,-0.485,-0.275
0.02712,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.02812,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.02912,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03012,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03112,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03212,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03312,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03412,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
0.03512,0,0,0,6.59999,8.14999,60.75,0.17699,-0.485,-0.276
