time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00108,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00211,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00315,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00408,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.0051,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00607,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00707,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00807,0,0,0.27,0.56999,-0.45999,44.12999,-0.24,-0.30999,-0.01399
0.00907,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01007,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01107,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01207,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01307,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01407,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01507,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01607,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01707,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01807,0,0,0.27,0.48999,-0.53999,44.12999,-0.24,-0.309,-0.01299
0.01907,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02007,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02107,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02207,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02307,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02407,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02507,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02607,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02707,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02807,0,0,0.27,0.57999,-0.45999,44.14999,-0.24,-0.312,-0.012
0.02907,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03007,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03107,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03207,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03307,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03407,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03507,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03607,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03707,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03807,0,0,0.27,0.63999,-0.38999,44.13999,-0.241,-0.313,-0.012
0.03907,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04007,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04107,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04207,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04307,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04407,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04507,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04607,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04706,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04807,0,0,0.27,0.68,-0.35999,44.07999,-0.24,-0.311,-0.011
0.04907,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05007,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05107,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05207,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05307,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05407,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05507,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05607,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05707,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05807,0,0,0.27,0.58999,-0.41999,44.06999,-0.239,-0.312,-0.011
0.05907,0,0,0.27,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06007,0,0,0.27,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06107,0,0,0.27,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06207,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06307,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06407,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06507,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06607,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06707,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06807,0,0,0.272,0.57999,-0.45999,44.09,-0.24,-0.312,-0.012
0.06907,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07007,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07107,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07207,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07307,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07407,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
0.07507,0,0,0.272,0.55999,-0.55999,44.22999,-0.239,-0.311,-0.012
