surfaceAngle_deg_,force_x,force_y,force_z,moment_x,moment_y,moment_z,count
-20,0.593506668960014,0.691276636389985,-4.04116151619382,0.0316242396973217,0.00594133589574608,-0.0688582619324821,7731
-18,0.63054210708336,0.706609428333408,-4.01928323041638,0.0280605349999997,0.00346424750001145,-0.0650559595833349,8000
-16,0.502906992083269,0.422873117083417,-3.97928824166506,0.0262851974999991,0.00324458125000981,-0.0493010033333364,8000
-14,0.43266204958332,0.360786953333384,-3.97935070416509,0.0270581749999994,0.00371157750001139,-0.0410293295833376,8000
-12,0.35034982958326,0.273141154583333,-3.99489335541533,0.0237595749999994,0.00318204750001522,-0.0354751345833398,8000
-10,0.354722122083311,0.249653349583424,-4.00213816791531,0.0235206362499994,0.0032449362500146,-0.0339085445833389,8000
-8,0.375579318590209,0.356704979210892,-4.01781001834266,0.0197159138424821,0.00327854228238827,-0.0380687702131275,7961
-6,0.274979297083341,0.230268517083478,-3.95274978541626,0.0165246274999998,0.00519918500001965,-0.0276730070833341,8000
-4,0.046368803333348,-0.0295953304165506,-3.92473700041523,0.0107461024999999,0.00429961250000904,-0.00905260708333749,8000
-2,0.111471075833328,-0.0415425929165494,-4.00282351541621,0.0141863999999994,0.00481825375002104,-0.0135956795833365,8000
0,0.0938235358332911,0.138222440833345,-4.02108929416566,0.0113169137499992,0.00359953500001009,-0.0220518195833372,8000
2,0.0307472383333476,0.00600233958340457,-4.00382186291594,0.01117953875,0.00447192375001365,-0.00920268208333666,8000
4,-0.0104877866666766,0.0367760158334418,-4.03218194541586,0.00793711125000018,0.000482046250015578,-0.0129418695833351,8000
6,-0.0314276891666463,-0.0967126154165694,-3.98722562041547,0.0090071474999997,0.00305087000000526,0.00171795416666562,8000
8,-0.0326362116666727,-0.192182495416604,-3.98390695291636,0.0108218349999997,0.00466831750001334,0.00865173041666989,8000
10,-0.00308113813512767,-0.314299312451219,-3.93816874011764,0.0118741575871006,0.00628747515982275,0.0221660867645643,6946
12,-0.0491925404166609,-0.262927702916591,-3.99072065916539,0.00875105875000002,0.00340238500000756,0.0132691166666654,8000
14,-0.0862576516666214,-0.3382127579166,-3.90187810041557,0.00715487625000016,0.00262023500001818,0.0263127054166685,8000
16,-0.097192345416659,-0.300270436666608,-3.85857566416627,0.00792359499999948,0.00448242250000952,0.0294799929166683,8000
18,-0.148788611666693,-0.314446124166617,-3.79473318041573,0.00700698625000007,-0.0016824012499862,0.0373237591666665,8000
20,-0.156649731666636,-0.324501271666608,-3.7874545691659,0.00605987499999983,-0.00121968874999023,0.0335837166666676,8000
