time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00081,0.00000,8.54833,3.71602,3.45120,72.01268,-0.09705,-0.49552,-0.21919
10.00089,0.45999,775.01086,4.05535,3.48959,67.26547,-0.09361,-0.48584,-0.24467
20.00000,0.46500,777.57537,4.03061,3.47428,67.21367,-0.09499,-0.48663,-0.25044
30.00095,0.46999,785.04650,4.09056,3.53219,67.15727,-0.09422,-0.48673,-0.25137
40.00097,0.47500,792.16424,4.09663,3.50127,67.01213,-0.09290,-0.48614,-0.24664
50.00088,0.48000,797.52172,4.10980,3.47294,66.93654,-0.09099,-0.48697,-0.24676
60.00092,0.48500,802.34692,4.13778,3.54831,66.84212,-0.09226,-0.48799,-0.25090
70.00085,0.49000,813.23846,4.13876,3.47550,66.74447,-0.09186,-0.48699,-0.24813
80.00096,0.49499,821.11553,4.19218,3.49384,66.64343,-0.09199,-0.48524,-0.24543
90.00098,0.50000,824.57873,4.21910,3.49458,66.52754,-0.09260,-0.48229,-0.25639
100.00087,0.50500,831.34436,4.25201,3.52701,66.41424,-0.08978,-0.48119,-0.25020
110.00000,0.50999,837.93872,4.22060,3.59807,66.33878,-0.09239,-0.48287,-0.25350
120.00087,0.51499,844.29315,4.25517,3.56832,66.26764,-0.08995,-0.48175,-0.24755
130.00100,0.51999,849.39239,4.23080,3.58160,66.18032,-0.09100,-0.48247,-0.24550
140.00096,0.52500,852.96777,4.22630,3.58706,66.08979,-0.08820,-0.48215,-0.25235
150.00097,0.53000,856.63543,4.22081,3.61170,65.98461,-0.08906,-0.48216,-0.25790
