time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00043,0.00000,0.00000,0.71188,-0.37880,43.87859,-0.23804,-0.31339,-0.00911
10.00010,0.45000,771.33801,1.19676,-0.20950,40.01059,-0.24216,-0.31007,-0.01023
20.00107,0.45499,780.12847,1.19977,-0.21505,39.95473,-0.24369,-0.31139,-0.00818
30.00011,0.45999,786.45788,1.15175,-0.19328,39.84964,-0.24410,-0.31285,-0.01384
40.00002,0.46499,795.10833,1.16732,-0.11444,39.79112,-0.24746,-0.31283,-0.00907
50.00011,0.46999,798.12548,1.27678,-0.16168,39.69245,-0.24546,-0.30801,-0.01526
60.00106,0.47500,805.30212,1.22454,-0.10552,39.61924,-0.24573,-0.30877,-0.01563
70.00002,0.47999,812.55743,1.18152,-0.00868,39.50541,-0.24525,-0.31142,-0.02153
80.00011,0.48499,821.45452,1.20299,-0.01536,39.41888,-0.24820,-0.30887,-0.02023
90.00001,0.48999,828.79650,1.18214,-0.06036,39.39379,-0.24075,-0.31141,-0.00391
100.00010,0.49499,832.81469,1.21991,-0.12916,39.29482,-0.24143,-0.31010,-0.00902
110.00000,0.50000,832.45391,1.07276,-0.02812,39.18229,-0.25168,-0.30853,-0.03951
120.00010,0.50500,843.86560,1.23909,-0.05990,39.15400,-0.24551,-0.30904,-0.02403
130.00001,0.50999,852.07409,1.27249,-0.05169,39.12641,-0.24645,-0.30682,-0.02005
140.00001,0.51499,858.20922,1.27656,-0.06889,39.06654,-0.24238,-0.30764,-0.01230
150.00010,0.51999,859.40380,1.16323,-0.04960,38.98111,-0.25060,-0.30706,-0.03413
160.00001,0.52500,861.18798,1.18445,0.01060,38.92395,-0.25206,-0.30639,-0.03958
