time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00042,0.00000,0.00000,0.50880,-0.29101,42.28540,-0.21797,-0.30266,-0.00911
10.00102,0.45000,773.76141,0.72947,-0.17904,38.35920,-0.23744,-0.29691,-0.02373
20.00005,0.45499,786.54858,0.86415,-0.31412,38.32027,-0.22691,-0.30112,-0.00297
30.00002,0.45999,783.08532,0.87582,-0.20924,38.21742,-0.23331,-0.29383,-0.02881
40.00000,0.46499,796.51019,0.88508,-0.19123,38.20412,-0.22734,-0.29934,-0.00404
50.00101,0.46999,800.89764,0.90655,-0.21849,38.11299,-0.22866,-0.29587,-0.01172
60.00003,0.47500,807.16961,0.91577,-0.16679,38.08863,-0.23241,-0.29477,-0.01521
70.00099,0.47999,812.19793,0.89027,-0.18866,37.98659,-0.23320,-0.29406,-0.02580
80.00003,0.48499,822.76837,0.93162,-0.19436,37.91304,-0.23053,-0.29445,-0.01470
90.00099,0.48999,824.38037,0.90837,-0.16194,37.87314,-0.23201,-0.29362,-0.02535
100.00002,0.49499,830.94952,0.92409,-0.12943,37.82315,-0.23126,-0.29332,-0.02041
110.000105,0.50000,838.79162,0.95013,-0.16727,37.75501,-0.23351,-0.29128,-0.02011
120.00001,0.50500,843.87866,0.95925,-0.21923,37.66010,-0.23345,-0.29051,-0.02664
130.00103,0.50999,847.08959,0.93655,-0.21221,37.59680,-0.23320,-0.29111,-0.03994
140.00000,0.51499,857.78570,0.99135,-0.13133,37.57491,-0.23659,-0.29063,-0.02074
150.00102,0.51999,862.97412,0.98926,-0.16021,37.55061,-0.23419,-0.28959,-0.01521
160.00000,0.52500,868.50994,1.00769,-0.19101,37.47937,-0.23182,-0.29065,-0.01883
