time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00043,0.00000,0.00000,0.63147,-0.47289,43.99373,-0.24055,-0.31255,-0.01167
10.00003,0.45000,772.64471,1.11709,-0.16090,40.12281,-0.24192,-0.31217,-0.00712
20.00103,0.45499,779.95147,1.21204,-0.17226,40.00876,-0.24453,-0.30734,-0.01002
30.00003,0.45999,782.05920,1.18984,-0.17622,39.94477,-0.24595,-0.30752,-0.02537
40.00006,0.46499,783.07122,0.93358,-0.19471,39.87858,-0.25229,-0.30998,-0.05009
50.00099,0.46999,795.58166,1.14192,-0.09122,39.86974,-0.24674,-0.30757,-0.02367
60.00005,0.47500,799.41784,1.09339,-0.14797,39.77456,-0.25215,-0.30796,-0.03456
70.00098,0.47999,807.21984,1.04770,-0.17165,39.69526,-0.25133,-0.30864,-0.03708
80.00005,0.48499,819.91229,1.16092,-0.13165,39.63880,-0.24957,-0.30876,-0.02379
90.00106,0.48999,826.45648,1.16916,-0.20175,39.59436,-0.24199,-0.31049,-0.01200
100.00003,0.49499,830.02227,1.21004,-0.13600,39.49353,-0.24488,-0.30583,-0.02083
110.00105,0.50000,839.73254,1.21619,-0.10627,39.39495,-0.24555,-0.30686,-0.01805
120.00095,0.50500,839.99652,1.02432,-0.14847,39.35201,-0.25082,-0.30761,-0.04207
130.00103,0.50999,842.59838,0.85166,-0.14853,39.27801,-0.25565,-0.30861,-0.05987
140.00100,0.51499,856.33422,1.13696,-0.05441,39.20151,-0.24957,-0.30801,-0.02902
150.00003,0.51999,859.08703,1.09557,-0.06515,39.12328,-0.25426,-0.30731,-0.03743
160.00106,0.52500,870.56286,1.26027,-0.14730,39.10184,-0.24483,-0.30718,-0.01608
