time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00074,0.00000,312.23306,4.17233,3.07715,73.23381,-0.11467,-0.53462,-0.21909
10.00102,0.45999,779.11633,4.41723,3.28519,68.46210,-0.11521,-0.52392,-0.24652
20.00005,0.46999,792.72497,4.50512,3.26969,68.29407,-0.11446,-0.52057,-0.24387
30.00102,0.48000,803.77770,4.45856,3.27436,68.05942,-0.11601,-0.52151,-0.24483
40.00105,0.49000,818.08209,4.46691,3.31629,67.90005,-0.11766,-0.52249,-0.24963
50.00009,0.50000,832.38171,4.51827,3.28758,67.67049,-0.11431,-0.52052,-0.24648
60.00003,0.50999,843.57482,4.49825,3.26428,67.59196,-0.10931,-0.51706,-0.24750
70.00001,0.51999,854.18768,4.54658,3.39249,67.39138,-0.11718,-0.52129,-0.25327
80.00103,0.53000,863.03143,4.55664,3.34394,67.31089,-0.11372,-0.51951,-0.24933
