time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00082,0.00000,274.82815,4.30287,3.72876,73.08932,-0.08766,-0.50827,-0.20990
10.00006,0.45999,787.56231,4.63262,3.74855,68.63281,-0.09759,-0.50214,-0.22106
20.00002,0.46500,790.59338,4.72896,3.84216,68.51467,-0.10447,-0.49748,-0.22979
30.00103,0.46999,796.21740,4.65248,3.74025,68.54311,-0.09577,-0.49611,-0.23017
40.00008,0.47500,801.21881,4.74892,3.79807,68.33844,-0.10490,-0.49951,-0.23051
50.00004,0.48000,810.68225,4.68839,3.75489,68.26905,-0.09992,-0.49678,-0.22739
60.00008,0.48500,817.02111,4.76405,3.74696,68.25828,-0.10278,-0.49858,-0.23241
70.00101,0.49000,823.89593,4.74687,3.74062,68.19306,-0.10306,-0.49867,-0.22759
80.00106,0.49499,828.98297,4.73770,3.74668,68.08084,-0.10274,-0.49802,-0.22864
90.00004,0.50000,835.28228,4.76989,3.73755,67.93955,-0.10266,-0.49700,-0.23409
100.00005,0.50500,842.63079,4.68472,3.71654,67.83940,-0.09852,-0.49136,-0.22894
110.00001,0.50999,848.06237,4.76881,3.81139,67.82481,-0.10331,-0.49851,-0.23476
120.00102,0.51499,853.98260,4.74047,3.81970,67.76667,-0.10028,-0.49393,-0.23196
130.00001,0.51999,859.73242,4.76364,3.87250,67.57073,-0.10339,-0.49700,-0.23440
140.00003,0.52500,868.12622,4.81909,3.76341,67.57215,-0.10107,-0.49343,-0.21604
150.00007,0.53000,873.56762,4.86300,3.73176,67.50458,-0.09977,-0.48980,-0.22032
