time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00059,0.00000,310.70983,4.04329,3.18861,73.01107,-0.11655,-0.52805,-0.21999
10.00012,0.45999,783.01635,4.29331,3.40012,68.51872,-0.11897,-0.51801,-0.24403
20.00008,0.46999,796.52386,4.34124,3.43252,68.43864,-0.12458,-0.51821,-0.23878
30.00004,0.48000,811.34405,4.32552,3.41717,68.19256,-0.11630,-0.51556,-0.24163
40.00008,0.49000,823.68463,4.37597,3.42559,68.08141,-0.12000,-0.51615,-0.24125
50.00003,0.50000,834.81939,4.39435,3.46138,67.83480,-0.11857,-0.51181,-0.24657
60.00006,0.50999,849.33599,4.41766,3.47989,67.66363,-0.12259,-0.51668,-0.24362
70.00002,0.51999,858.67810,4.41895,3.43298,67.55236,-0.11713,-0.51274,-0.24478
80.00005,0.53000,870.42858,4.39938,3.47868,67.36118,-0.12247,-0.51755,-0.24614
