time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00035,0.00000,0.00000,0.32357,-0.44222,41.87007,-0.21487,-0.29840,-0.01634
10.00010,0.45000,772.12243,0.73088,-0.19231,37.96475,-0.22190,-0.29659,-0.01834
20.00104,0.45499,777.09796,0.79230,-0.16077,37.85287,-0.22572,-0.29348,-0.02507
30.00009,0.45999,782.65173,0.79843,-0.09051,37.79567,-0.22817,-0.29365,-0.02991
40.00103,0.46499,793.20819,0.83495,-0.18110,37.71635,-0.22510,-0.29491,-0.01849
50.00010,0.46999,797.90692,0.78859,-0.10367,37.65547,-0.22625,-0.29603,-0.02017
60.00000,0.47500,800.67095,0.80454,-0.08252,37.59590,-0.22896,-0.29331,-0.03395
70.00002,0.47999,814.37823,0.84458,-0.15809,37.60049,-0.22618,-0.29500,-0.01869
80.00004,0.48499,820.57025,0.87026,-0.15585,37.51351,-0.22780,-0.29234,-0.02266
90.00000,0.48999,824.39990,0.81512,-0.06855,37.47139,-0.22695,-0.29408,-0.02801
100.00011,0.49499,830.71166,0.84884,-0.18672,37.45223,-0.22927,-0.29593,-0.02269
110.00004,0.50000,834.41748,0.87503,-0.14063,37.30226,-0.22870,-0.29150,-0.03654
120.00000,0.50500,840.51898,0.84973,-0.13378,37.26459,-0.22957,-0.29330,-0.03939
130.00003,0.50999,846.15313,0.86652,-0.12619,37.19286,-0.23048,-0.29287,-0.04580
140.00106,0.51499,854.88189,0.82889,-0.11149,37.19363,-0.23183,-0.29413,-0.03443
150.00003,0.51999,864.54187,0.97336,-0.30925,37.17815,-0.22769,-0.29477,-0.01587
160.00000,0.52500,866.79345,0.92750,-0.22309,37.08816,-0.23097,-0.29218,-0.02649
