time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00038,0.00000,8.55639,3.67339,3.52205,72.28646,-0.09591,-0.49751,-0.21909
10.00008,0.45999,780.38500,3.95452,3.65417,67.68659,-0.09822,-0.48940,-0.24454
20.00012,0.46999,793.42926,4.03084,3.65588,67.52964,-0.09985,-0.48457,-0.24095
30.00001,0.48000,802.75573,4.04215,3.66138,67.34850,-0.09878,-0.48457,-0.24578
40.00003,0.49000,818.88598,4.03152,3.66393,67.12292,-0.09830,-0.48552,-0.24678
50.00000,0.50000,830.03326,4.02559,3.62900,66.97501,-0.09766,-0.48751,-0.25048
60.00003,0.50999,843.59497,4.11086,3.62940,66.79071,-0.09776,-0.48480,-0.24566
70.00006,0.51999,853.54266,4.04068,3.64527,66.65113,-0.10073,-0.48667,-0.25203
80.00009,0.53000,863.01556,4.07035,3.69854,66.46391,-0.10038,-0.48600,-0.24945
