time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00069,0.00000,8.54864,3.70306,3.28184,71.76713,-0.10169,-0.49691,-0.21952
10.00005,0.45999,782.35571,3.99286,3.48646,67.29167,-0.10658,-0.48710,-0.23474
20.00007,0.46500,786.78082,3.98229,3.54072,67.29299,-0.10924,-0.48537,-0.23708
30.00009,0.46999,797.44891,4.00651,3.47431,67.23168,-0.10656,-0.48586,-0.22146
40.00001,0.47500,801.33660,4.01109,3.53659,67.06903,-0.10831,-0.48625,-0.23006
50.00003,0.48000,808.11505,4.02902,3.47967,66.96640,-0.10901,-0.48540,-0.23539
60.00006,0.48500,814.63519,4.01137,3.50783,66.87071,-0.10835,-0.48546,-0.24068
70.00009,0.49000,821.45001,4.00700,3.54841,66.76899,-0.10856,-0.48362,-0.24098
80.00005,0.49499,826.51177,4.03018,3.55724,66.69369,-0.10706,-0.48423,-0.23918
90.00001,0.50000,831.40667,4.05404,3.58507,66.58573,-0.10715,-0.48344,-0.24428
100.00003,0.50500,837.33160,4.04982,3.60083,66.48876,-0.10641,-0.48524,-0.24668
110.00009,0.50999,845.69311,4.05469,3.63433,66.44731,-0.10484,-0.48469,-0.24060
120.00010,0.51499,852.24414,4.07866,3.61110,66.36940,-0.10532,-0.48419,-0.23801
130.00006,0.51999,857.06402,4.04851,3.60755,66.33925,-0.10572,-0.48368,-0.24136
140.00009,0.52500,859.06799,4.11150,3.56015,66.19467,-0.10680,-0.48196,-0.24437
150.00000,0.53000,866.16546,4.11591,3.57746,66.17718,-0.10729,-0.48195,-0.24222
