time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00066,0.00000,8.54846,3.80353,3.36237,72.16130,-0.09860,-0.49957,-0.21817
10.00003,0.45999,776.99877,4.13356,3.37162,67.23024,-0.08983,-0.48524,-0.23967
20.00006,0.46500,779.36871,4.09132,3.40517,67.20159,-0.09111,-0.48507,-0.24307
30.00104,0.46999,787.76885,4.13875,3.34059,67.08905,-0.09046,-0.48569,-0.24250
40.00005,0.47500,792.30865,4.11325,3.42617,66.99282,-0.09156,-0.48525,-0.24334
50.00001,0.48000,796.83093,4.14724,3.46895,66.85176,-0.08911,-0.48485,-0.24386
60.00107,0.48500,803.13525,4.14712,3.49844,66.81175,-0.08922,-0.48570,-0.24502
70.00007,0.49000,812.23693,4.16740,3.48014,66.69843,-0.08807,-0.48403,-0.24574
80.00003,0.49499,819.41198,4.18505,3.47020,66.63993,-0.08828,-0.48545,-0.24535
90.00109,0.50000,825.33959,4.16962,3.51633,66.51338,-0.08740,-0.48547,-0.24556
100.00104,0.50500,830.76312,4.22499,3.52664,66.45321,-0.08703,-0.48501,-0.24671
110.00004,0.50999,839.35986,4.22415,3.51295,66.36953,-0.08472,-0.48413,-0.24107
120.00002,0.51499,841.87567,4.26173,3.46650,66.21070,-0.08590,-0.48265,-0.25101
130.00109,0.51999,847.73022,4.18984,3.52094,66.19722,-0.08432,-0.48627,-0.24751
140.00103,0.52500,853.41986,4.22329,3.54674,66.12454,-0.08100,-0.48804,-0.24615
150.00004,0.53000,857.98327,4.23169,3.51465,66.06875,-0.08128,-0.48631,-0.24540
