time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00035,0.00000,0.00000,0.44305,-0.54746,44.67335,-0.24716,-0.31445,-0.01497
10.00105,0.45000,772.95379,0.89658,-0.31792,40.75201,-0.25176,-0.31365,-0.01266
20.00101,0.45499,781.39074,0.98883,-0.40350,40.69382,-0.24901,-0.31521,-0.00947
30.00002,0.45999,784.94812,0.95739,-0.39009,40.59152,-0.25514,-0.31178,-0.02181
40.00107,0.46499,789.34777,0.85957,-0.37497,40.50931,-0.25971,-0.31197,-0.03119
50.00001,0.46999,798.56530,0.96006,-0.36516,40.41981,-0.25093,-0.31075,-0.01736
60.00106,0.47500,805.51599,0.92902,-0.39651,40.36009,-0.25656,-0.31097,-0.02215
70.00000,0.47999,813.07849,0.80866,-0.26159,40.31556,-0.26257,-0.31317,-0.02774
80.00105,0.48499,823.06982,0.92879,-0.30188,40.21897,-0.25290,-0.31270,-0.01559
90.00097,0.48999,825.41223,0.90424,-0.33218,40.12140,-0.25573,-0.31048,-0.02275
100.00106,0.49499,830.04742,0.86029,-0.30831,40.05862,-0.25674,-0.31393,-0.02734
110.00000,0.50000,837.88159,0.92450,-0.32581,39.97858,-0.25643,-0.31268,-0.02677
120.00101,0.50500,843.24688,0.87666,-0.30241,39.91893,-0.25994,-0.31291,-0.03432
130.00105,0.50999,853.02410,0.93365,-0.30941,39.86201,-0.25449,-0.31271,-0.02262
140.00001,0.51499,854.03381,0.82630,-0.38777,39.76186,-0.25969,-0.31063,-0.04274
150.00103,0.51999,860.77807,1.01260,-0.32270,39.72817,-0.25361,-0.31190,-0.02437
160.00000,0.52500,864.45471,0.92787,-0.28975,39.67777,-0.26144,-0.31154,-0.03722
