time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00066,0.00000,8.54834,3.67522,3.38186,72.01745,-0.09905,-0.49513,-0.21742
10.00001,0.45999,781.16290,4.06208,3.34777,67.23309,-0.08698,-0.48679,-0.22821
20.00091,0.46500,784.41064,4.09634,3.37356,67.11357,-0.08665,-0.48512,-0.23222
30.00001,0.46999,790.03692,4.08912,3.38304,67.04488,-0.08523,-0.48829,-0.23527
40.00099,0.47500,794.66864,4.09903,3.37467,66.95518,-0.08202,-0.48639,-0.23293
50.00000,0.48000,798.97033,4.08682,3.42255,66.80288,-0.08436,-0.48699,-0.23632
60.00002,0.48500,804.47839,4.09813,3.45314,66.69679,-0.08437,-0.48544,-0.23934
70.00101,0.49000,814.75970,4.09127,3.42687,66.60232,-0.08364,-0.48762,-0.23623
80.00102,0.49499,820.78363,4.14379,3.46483,66.51667,-0.08213,-0.48381,-0.23795
90.00000,0.50000,825.89825,4.16571,3.46667,66.38472,-0.08269,-0.48288,-0.24097
100.00101,0.50500,830.02423,4.14923,3.46529,66.32071,-0.08354,-0.48333,-0.24389
110.00097,0.50999,838.60687,4.17682,3.44164,66.24747,-0.08193,-0.48291,-0.23974
120.00000,0.51499,844.93475,4.14594,3.49614,66.18631,-0.08073,-0.48467,-0.23684
130.00103,0.51999,848.53375,4.17595,3.49890,66.07402,-0.08059,-0.48339,-0.24043
140.00099,0.52500,852.48876,4.15424,3.47269,65.97482,-0.08060,-0.48270,-0.24287
150.00003,0.53000,858.03485,4.16897,3.45291,65.92573,-0.07892,-0.48404,-0.23904
