time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00064,0.00000,8.54884,3.66878,3.23933,71.87192,-0.10368,-0.49652,-0.21632
10.00098,0.45999,786.72906,3.97771,3.38973,67.33634,-0.11046,-0.48917,-0.23097
20.00000,0.46500,790.76629,3.95616,3.40482,67.30749,-0.11074,-0.48637,-0.23276
30.00098,0.46999,795.03399,3.98911,3.46081,67.18647,-0.11297,-0.48669,-0.23682
40.00099,0.47500,798.97448,4.03286,3.40679,67.09185,-0.10960,-0.48353,-0.24034
50.00006,0.48000,803.82470,4.04766,3.43425,66.99117,-0.11176,-0.48395,-0.24604
60.00099,0.48500,811.73779,4.02087,3.50430,66.93148,-0.11014,-0.48659,-0.24795
70.00102,0.49000,820.71203,4.06165,3.47723,66.85099,-0.11107,-0.48614,-0.24271
80.00000,0.49499,826.20483,4.08082,3.51586,66.75978,-0.10996,-0.48612,-0.23969
90.00003,0.50000,831.69409,4.08682,3.50773,66.67134,-0.10985,-0.48636,-0.24338
100.00097,0.50500,839.60290,4.12234,3.52340,66.61273,-0.11022,-0.48381,-0.23706
110.00100,0.50999,847.44891,4.13255,3.50778,66.58229,-0.11154,-0.48369,-0.23437
120.00005,0.51499,854.74224,4.12277,3.44612,66.49496,-0.11110,-0.48704,-0.23043
130.00001,0.51999,858.09796,4.07684,3.49244,66.43575,-0.11321,-0.48431,-0.23753
140.00004,0.52500,861.80444,4.14306,3.45750,66.30767,-0.10945,-0.48281,-0.23690
150.00099,0.53000,865.02880,4.10692,3.48891,66.22621,-0.10764,-0.48422,-0.24483
