time(s),moment_x(N·m),moment_y(N·m),moment_z(N·m),motor_angle_1(rad),motor_angle_2(rad),motor_angle_3(rad),motor_angle_4(rad),target_moment(N·m),rotor_speed(m/s)
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.119,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.129,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.117,-0.13,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.118,-0.131,0,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.119,-0.133,0,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.118,-0.13,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.131,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.122,-0.134,-0.000932,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.12,-0.133,0,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.131,0.001864,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.118,-0.12699,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.116,-0.12699,0,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.119,-0.128,0.000932,0,0,0,0,0,28.96131
