time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.00025,0.00000,0.00000,0.00000,0.00000,14.88774
0.00128,780.00000,0.00000,0.48136,0.45357,14.88774
0.00232,780.00000,0.00000,0.48136,0.45357,14.88774
0.00325,780.00000,0.00000,0.48136,0.45357,14.88774
0.00427,780.00000,0.00000,0.48136,0.45357,14.88775
0.00523,780.00000,0.00000,0.48136,0.45357,14.88775
0.00623,780.00000,0.00000,0.48136,0.45357,14.88775
0.00723,780.00000,0.00000,0.48136,0.45357,14.88776
0.00823,780.00000,0.00000,0.48136,0.45357,14.88776
0.00923,780.00000,0.00000,0.48136,0.45357,14.88777
0.01023,780.00000,0.00000,0.48136,0.45357,14.88778
0.01123,780.00000,0.00000,0.48136,0.45357,14.88779
0.01224,780.00000,0.00000,0.48136,0.45357,14.88780
0.01323,780.00000,0.00000,0.48136,0.45357,14.88780
0.01423,780.00000,0.00000,0.48136,0.45357,14.88781
0.01523,780.00000,0.00000,0.48136,0.45357,14.88782
0.01623,780.00000,0.00000,0.48136,0.45357,14.88782
0.01723,780.00000,0.00000,0.48136,0.45357,14.88783
0.01823,780.00000,0.00000,0.48136,0.45357,14.88783
0.01923,780.00000,0.00000,0.48136,0.45357,14.88784
0.02023,780.00000,0.00000,0.48136,0.45357,14.88784
0.02123,780.00000,0.00000,0.48136,0.45357,14.88784
0.02223,780.00000,0.00000,0.48136,0.45357,14.88784
0.02323,780.00000,0.00000,0.48136,0.45357,14.88784
0.02423,780.00000,0.00000,0.48136,0.45357,14.88784
0.02523,780.00000,0.00000,0.48136,0.45357,14.88783
0.02623,780.00000,0.00000,0.48136,0.45357,14.88783
0.02723,780.00000,0.00000,0.48136,0.45357,14.88782
0.02823,780.00000,0.00000,0.48136,0.45357,14.88782
0.02923,780.00000,0.00000,0.48136,0.45357,14.88781
0.03023,780.00000,0.00000,0.48136,0.45357,14.88780
0.03123,780.00000,0.00000,0.48136,0.45357,14.88780
0.03223,780.00000,0.00000,0.48136,0.45357,14.88779
0.03323,780.00000,0.00000,0.48136,0.45357,14.88778
0.03423,780.00000,0.00000,0.48136,0.45357,14.88777
0.03523,780.00000,0.00000,0.48136,0.45357,14.88776
0.03623,780.00000,0.00000,0.48136,0.45357,14.88776
0.03723,780.00000,0.00000,0.48136,0.45357,14.88775
0.03823,780.00000,0.00000,0.48136,0.45357,14.88775
0.03923,780.00000,0.00000,0.48136,0.45357,14.88775
0.04023,780.00000,0.00000,0.48136,0.45357,14.88774
0.04123,780.00000,0.00000,0.48136,0.45357,14.88774
0.04223,780.00000,0.00000,0.48136,0.45357,14.88774
0.04323,780.00000,0.00000,0.48136,0.45357,14.88774
0.04423,780.00000,0.00000,0.48136,0.45357,14.88775
0.04523,780.00000,0.00000,0.48136,0.45357,14.88775
0.04623,780.00000,0.00000,0.48136,0.45357,14.88775
0.04723,780.00000,0.00000,0.48136,0.45357,14.88776
0.04823,780.00000,0.00000,0.48136,0.45357,14.88776
0.04923,780.00000,0.00000,0.48136,0.45357,14.88777
0.05023,780.00000,0.00000,0.48136,0.45357,14.88778
0.05123,780.00000,0.00000,0.48136,0.45357,14.88779
0.05223,780.00000,0.00000,0.48136,0.45357,14.88780
0.05323,780.00000,0.00000,0.48136,0.45357,14.88780
0.05423,780.00000,0.00000,0.48136,0.45357,14.88781
0.05523,780.00000,0.00000,0.48136,0.45357,14.88782
0.05623,780.00000,0.00000,0.48136,0.45357,14.88782
0.05723,780.00000,0.00000,0.48136,0.45357,14.88783
0.05823,780.00000,0.00000,0.48136,0.45357,14.88783
0.05923,780.00000,0.00000,0.48136,0.45357,14.88784
0.06023,780.00000,0.00000,0.48136,0.45357,14.88784
0.06123,780.00000,0.00000,0.48136,0.45357,14.88784
0.06223,780.00000,0.00000,0.48136,0.45357,14.88784
0.06323,780.00000,0.00000,0.48136,0.45357,14.88784
0.06423,780.00000,0.00000,0.48136,0.45357,14.88784
0.06523,780.00000,0.00000,0.48136,0.45357,14.88783
0.06623,780.00000,0.00000,0.48136,0.45357,14.88783
0.06723,780.00000,0.00000,0.48136,0.45357,14.88782
0.06823,780.00000,0.00000,0.48136,0.45357,14.88782
0.06923,780.00000,0.00000,0.48136,0.45357,14.88781
0.07023,780.00000,0.00000,0.48136,0.45357,14.88780
0.07123,780.00000,0.00000,0.48136,0.45357,14.88780
0.07223,780.00000,0.00000,0.48136,0.45357,14.88779
0.07323,780.00000,0.00000,0.48136,0.45357,14.88778
0.07423,780.00000,0.00000,0.48136,0.45357,14.88777
0.07523,780.00000,0.00000,0.48136,0.45357,14.88776
0.07623,780.00000,0.00000,0.48136,0.45357,14.88776
0.07723,780.00000,0.00000,0.48136,0.45357,14.88775
0.07823,780.00000,0.00000,0.48136,0.45357,14.88775
0.07923,780.00000,0.00000,0.48136,0.45357,14.88775
0.08023,780.00000,0.00000,0.48136,0.45357,14.88774
0.08123,780.00000,0.00000,0.48136,0.45357,14.88774
0.08223,780.00000,0.00000,0.48136,0.45357,14.88774
0.08323,780.00000,0.00000,0.48136,0.45357,14.88774
0.08423,780.00000,0.00000,0.48136,0.45357,14.88775
0.08523,780.00000,0.00000,0.48136,0.45357,14.88775
0.08623,780.00000,0.00000,0.48136,0.45357,14.88775
0.08723,780.00000,0.00000,0.48136,0.45357,14.88776
0.08823,780.00000,0.00000,0.48136,0.45357,14.88776
0.08923,780.00000,0.00000,0.48136,0.45357,14.88777
0.09023,780.00000,0.00000,0.48136,0.45357,14.88778
0.09123,780.00000,0.00000,0.48136,0.45357,14.88779
0.09223,780.00000,0.00000,0.48136,0.45357,14.88780
0.09323,780.00000,0.00000,0.48136,0.45357,14.88780
0.09423,780.00000,0.00000,0.48136,0.45357,14.88781
0.09523,780.00000,0.00000,0.48136,0.45357,14.88782
0.09623,780.00000,0.00000,0.48136,0.45357,14.88782
0.09723,780.00000,0.00000,0.48136,0.45357,14.88783
0.09823,780.00000,0.00000,0.48136,0.45357,14.88783
0.09923,780.00000,0.00000,0.48136,0.45357,14.88784
0.10023,780.00000,0.00000,0.48136,0.45357,14.88784
0.10123,780.00000,0.00000,0.48136,0.45357,14.88784
0.10223,780.00000,0.00000,0.48136,0.45357,14.88784
0.10323,780.00000,0.00000,0.48136,0.45357,14.88784
0.10423,780.00000,0.00000,0.48136,0.45357,14.88784
0.10523,780.00000,0.00000,0.48136,0.45357,14.88783
0.10623,780.00000,0.00000,0.48136,0.45357,14.88783
0.10723,780.00000,0.00000,0.48136,0.45357,14.88782
0.10823,780.00000,0.00000,0.48136,0.45357,14.88782
0.10923,780.00000,0.00000,0.48136,0.45357,14.88781
0.11023,780.00000,0.00000,0.48136,0.45357,14.88780
0.11123,780.00000,0.00000,0.48136,0.45357,14.88780
0.11223,780.00000,0.00000,0.48136,0.45357,14.88779
0.11323,780.00000,0.00000,0.48136,0.45357,14.88778
0.11423,780.00000,0.00000,0.48136,0.45357,14.88777
0.11523,780.00000,0.00000,0.48136,0.45357,14.88776
0.11623,780.00000,0.00000,0.48136,0.45357,14.88776
0.11723,780.00000,0.00000,0.48136,0.45357,14.88775
0.11823,780.00000,0.00000,0.48136,0.45357,14.88775
0.11923,780.00000,0.00000,0.48136,0.45357,14.88775
0.12023,780.00000,0.00000,0.48136,0.45357,14.88774
0.12123,780.00000,0.00000,0.48136,0.45357,14.88774
0.12223,780.00000,0.00000,0.48136,0.45357,14.88774
0.12323,780.00000,0.00000,0.48136,0.45357,14.88774
0.12423,780.00000,0.00000,0.48136,0.45357,14.88775
0.12523,780.00000,0.00000,0.48136,0.45357,14.88775
0.12623,780.00000,0.00000,0.48136,0.45357,14.88775
0.12723,780.00000,0.00000,0.48136,0.45357,14.88776
0.12823,780.00000,0.00000,0.48136,0.45357,14.88776
0.12923,780.00000,0.00000,0.48136,0.45357,14.88777
0.13023,780.00000,0.00000,0.48136,0.45357,14.88778
0.13123,780.00000,0.00000,0.48136,0.45357,14.88779
0.13223,780.00000,0.00000,0.48136,0.45357,14.88780
0.13323,780.00000,0.00000,0.48136,0.45357,14.88780
0.13423,780.00000,0.00000,0.48136,0.45357,14.88781
0.13523,780.00000,0.00000,0.48136,0.45357,14.88782
0.13623,780.00000,0.00000,0.48136,0.45357,14.88782
0.13723,780.00000,0.00000,0.48136,0.45357,14.88783
0.13823,780.00000,0.00000,0.48136,0.45357,14.88783
0.13923,780.00000,0.00000,0.48136,0.45357,14.88784
0.14023,780.00000,0.00000,0.48136,0.45357,14.88784
0.14123,780.00000,0.00000,0.48136,0.45357,14.88784
0.14223,780.00000,0.00000,0.48136,0.45357,14.88784
0.14323,780.00000,0.00000,0.48136,0.45357,14.88784
0.14423,780.00000,0.00000,0.48136,0.45357,14.88784
0.14523,780.00000,0.00000,0.48136,0.45357,14.88783
0.14623,780.00000,0.00000,0.48136,0.45357,14.88783
0.14724,780.00000,0.00000,0.48136,0.45357,14.88782
0.14823,780.00000,11.05824,0.48136,0.45357,14.88782
0.14923,780.00000,11.05824,0.48136,0.45357,14.88781
0.15023,780.00000,11.05824,0.48136,0.45357,14.88780
0.15123,780.00000,11.05824,0.48136,0.45357,14.88780
0.15223,780.00000,11.05824,0.48136,0.45357,14.88779
0.15323,780.00000,11.05824,0.48136,0.45357,14.88778
0.15423,780.00000,11.05824,0.48136,0.45357,14.88777
0.15523,780.00000,11.05824,0.48136,0.45357,14.88776
0.15623,780.00000,11.05824,0.48136,0.45357,14.88776
0.15723,780.00000,11.05824,0.48136,0.45357,14.88775
0.15823,780.00000,11.05824,0.48136,0.45357,14.88774
0.15927,780.00000,83.38887,0.48136,0.45357,14.88773
0.16023,780.00000,83.38887,0.48136,0.45357,14.88772
0.16123,780.00000,83.38887,0.48136,0.45357,14.88771
0.16223,780.00000,83.38887,0.48136,0.45357,14.88770
0.16323,780.00000,83.38887,0.48136,0.45357,14.88769
0.16423,780.00000,83.38887,0.48136,0.45357,14.88767
0.16523,780.00000,83.38887,0.48136,0.45357,14.88765
0.16623,780.00000,83.38887,0.48137,0.45357,14.88763
0.16723,780.00000,83.38887,0.48137,0.45357,14.88761
0.16823,780.00000,103.40989,0.48137,0.45357,14.88759
0.16923,780.00000,103.40989,0.48137,0.45357,14.88756
0.17023,780.00000,103.40989,0.48137,0.45357,14.88753
0.17123,780.00000,103.40989,0.48137,0.45357,14.88750
0.17223,780.00000,103.40989,0.48137,0.45357,14.88747
0.17323,780.00000,103.40989,0.48137,0.45357,14.88744
0.17423,780.00000,103.40989,0.48137,0.45357,14.88740
0.17523,780.00000,116.67723,0.48137,0.45357,14.88736
0.17623,780.00000,116.67723,0.48138,0.45357,14.88732
0.17723,780.00000,116.67723,0.48138,0.45357,14.88727
0.17823,780.00000,116.67723,0.48138,0.45357,14.88722
0.17923,780.00000,116.67723,0.48138,0.45357,14.88716
0.18023,780.00000,116.67723,0.48138,0.45357,14.88710
0.18123,780.00000,116.67723,0.48138,0.45357,14.88704
0.18223,780.00000,116.67723,0.48139,0.45357,14.88698
0.18323,780.00000,125.90796,0.48139,0.45357,14.88691
0.18423,780.00000,125.90796,0.48139,0.45357,14.88684
