time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.09119,790.00000,0.00000,0.48327,0.46109,15.12283
0.09219,790.00000,0.00000,0.48327,0.46109,15.12278
0.09319,790.00000,0.00000,0.48327,0.46109,15.12273
0.09419,790.00000,0.00000,0.48327,0.46109,15.12269
0.09519,790.00000,0.00000,0.48327,0.46109,15.12264
0.09619,790.00000,0.00000,0.48327,0.46109,15.12259
0.09719,790.00000,0.00000,0.48327,0.46109,15.12253
0.09819,790.00000,0.00000,0.48328,0.46109,15.12248
0.09919,790.00000,0.00000,0.48328,0.46109,15.12243
0.10019,790.00000,0.00000,0.48328,0.46109,15.12237
0.10119,790.00000,0.00000,0.48328,0.46109,15.12232
0.10219,790.00000,0.00000,0.48328,0.46109,15.12226
0.10320,790.00000,0.00000,0.48329,0.46109,15.12220
0.10419,790.00000,0.00000,0.48329,0.46109,15.12214
0.10519,790.00000,0.00000,0.48329,0.46109,15.12208
0.10619,790.00000,0.00000,0.48329,0.46109,15.12202
0.10719,790.00000,0.00000,0.48329,0.46109,15.12196
0.10819,790.00000,0.00000,0.48329,0.46109,15.12190
0.10919,790.00000,0.00000,0.48330,0.46109,15.12183
0.11019,790.00000,0.00000,0.48330,0.46109,15.12177
0.11119,790.00000,0.00000,0.48330,0.46109,15.12170
0.11219,790.00000,0.00000,0.48330,0.46109,15.12163
0.11319,790.00000,0.00000,0.48331,0.46109,15.12157
0.11419,790.00000,0.00000,0.48331,0.46109,15.12150
0.11519,790.00000,0.00000,0.48331,0.46109,15.12142
0.11619,790.00000,0.00000,0.48331,0.46109,15.12135
0.11719,790.00000,0.00000,0.48331,0.46109,15.12128
0.11819,790.00000,0.00000,0.48332,0.46109,15.12121
0.11919,790.00000,0.00000,0.48332,0.46109,15.12113
0.12019,790.00000,0.00000,0.48332,0.46109,15.12106
0.12119,790.00000,0.00000,0.48332,0.46109,15.12098
0.12219,790.00000,0.00000,0.48333,0.46109,15.12090
0.12319,790.00000,0.00000,0.48333,0.46109,15.12082
0.12419,790.00000,0.00000,0.48333,0.46109,15.12074
0.12519,790.00000,0.00000,0.48333,0.46109,15.12066
0.12619,790.00000,0.00000,0.48334,0.46109,15.12058
0.12719,790.00000,0.00000,0.48334,0.46109,15.12050
0.12819,790.00000,0.00000,0.48334,0.46109,15.12041
0.12919,790.00000,0.00000,0.48334,0.46109,15.12033
0.13019,790.00000,0.00000,0.48335,0.46109,15.12025
0.13119,790.00000,0.00000,0.48335,0.46109,15.12016
0.13219,790.00000,0.00000,0.48335,0.46109,15.12007
0.13319,790.00000,0.00000,0.48336,0.46109,15.11999
0.13419,790.00000,0.00000,0.48336,0.46109,15.11990
0.13519,790.00000,0.00000,0.48336,0.46109,15.11981
0.13619,790.00000,0.00000,0.48336,0.46109,15.11973
0.13720,790.00000,0.00000,0.48337,0.46109,15.11964
0.13819,790.00000,0.00000,0.48337,0.46109,15.11955
0.13919,790.00000,0.00000,0.48337,0.46109,15.11946
0.14019,790.00000,0.00000,0.48338,0.46109,15.11937
0.14119,790.00000,0.00000,0.48338,0.46109,15.11928
0.14219,790.00000,0.00000,0.48338,0.46109,15.11919
0.14319,790.00000,0.00000,0.48338,0.46109,15.11909
0.14419,790.00000,0.00000,0.48339,0.46109,15.11900
0.14519,790.00000,0.00000,0.48339,0.46109,15.11890
0.14619,790.00000,0.00000,0.48339,0.46109,15.11881
0.14719,790.00000,0.00000,0.48340,0.46109,15.11871
0.14819,790.00000,0.00000,0.48340,0.46109,15.11861
0.14919,790.00000,0.00000,0.48340,0.46109,15.11852
0.15019,790.00000,0.00000,0.48341,0.46109,15.11842
0.15119,790.00000,0.00000,0.48341,0.46109,15.11832
0.15219,790.00000,0.00000,0.48341,0.46109,15.11822
0.15319,790.00000,0.00000,0.48342,0.46109,15.11812
0.15419,790.00000,0.00000,0.48342,0.46109,15.11802
0.15519,790.00000,0.00000,0.48342,0.46109,15.11792
0.15619,790.00000,19.64023,0.48343,0.46109,15.11781
0.15719,790.00000,19.64023,0.48343,0.46109,15.11771
0.15819,790.00000,19.64023,0.48343,0.46109,15.11761
0.15922,790.00000,19.64023,0.48344,0.46109,15.11750
0.16019,790.00000,19.64023,0.48344,0.46109,15.11739
0.16119,790.00000,19.64023,0.48344,0.46109,15.11728
0.16219,790.00000,19.64023,0.48345,0.46109,15.11717
0.16319,790.00000,19.64023,0.48345,0.46109,15.11705
0.16419,790.00000,19.64023,0.48345,0.46109,15.11693
0.16519,790.00000,19.64023,0.48346,0.46109,15.11681
0.16619,790.00000,19.64023,0.48346,0.46109,15.11669
0.16719,790.00000,19.64023,0.48347,0.46109,15.11657
0.16819,790.00000,19.64023,0.48347,0.46109,15.11644
0.16919,790.00000,19.64023,0.48347,0.46109,15.11631
0.17019,790.00000,19.64023,0.48348,0.46109,15.11618
0.17120,790.00000,19.64023,0.48348,0.46109,15.11605
0.17219,790.00000,19.64023,0.48349,0.46109,15.11591
0.17319,790.00000,19.64023,0.48349,0.46109,15.11578
0.17419,790.00000,19.64023,0.48349,0.46109,15.11564
0.17519,790.00000,47.36914,0.48350,0.46109,15.11549
0.17619,790.00000,47.36914,0.48350,0.46109,15.11535
0.17719,790.00000,47.36914,0.48351,0.46109,15.11521
0.17819,790.00000,47.36914,0.48351,0.46109,15.11506
0.17919,790.00000,47.36914,0.48352,0.46109,15.11491
0.18019,790.00000,47.36914,0.48352,0.46109,15.11476
0.18119,790.00000,47.36914,0.48353,0.46109,15.11460
0.18219,790.00000,47.36914,0.48353,0.46109,15.11445
0.18320,790.00000,47.36914,0.48354,0.46109,15.11429
0.18419,790.00000,47.36914,0.48354,0.46109,15.11413
0.18519,790.00000,88.12074,0.48355,0.46109,15.11396
0.18619,790.00000,88.12074,0.48355,0.46109,15.11379
0.18719,790.00000,88.12074,0.48356,0.46109,15.11362
0.18819,790.00000,88.12074,0.48357,0.46109,15.11345
0.18919,790.00000,88.12074,0.48357,0.46109,15.11326
0.19019,790.00000,88.12074,0.48358,0.46109,15.11308
0.19119,790.00000,88.12074,0.48358,0.46109,15.11289
0.19219,790.00000,88.12074,0.48359,0.46109,15.11270
0.19319,790.00000,108.09223,0.48359,0.46109,15.11251
0.19419,790.00000,108.09223,0.48360,0.46109,15.11231
0.19519,790.00000,108.09223,0.48361,0.46109,15.11211
0.19619,790.00000,108.09223,0.48361,0.46109,15.11190
0.19719,790.00000,108.09223,0.48362,0.46109,15.11169
0.19819,790.00000,108.09223,0.48363,0.46109,15.11147
0.19919,790.00000,108.09223,0.48364,0.46109,15.11124
0.20019,790.00000,108.09223,0.48364,0.46109,15.11101
0.20119,790.00000,121.13332,0.48365,0.46109,15.11077
0.20219,790.00000,121.13332,0.48366,0.46109,15.11053
0.20319,790.00000,121.13332,0.48367,0.46109,15.11029
0.20419,790.00000,121.13332,0.48367,0.46109,15.11004
0.20520,790.00000,121.13332,0.48368,0.46109,15.10979
0.20619,790.00000,121.13332,0.48369,0.46109,15.10953
0.20719,790.00000,131.98028,0.48370,0.46109,15.10927
0.20819,790.00000,131.98028,0.48371,0.46109,15.10900
0.20919,790.00000,131.98028,0.48372,0.46109,15.10872
0.21019,790.00000,131.98028,0.48373,0.46109,15.10845
0.21119,790.00000,131.98028,0.48373,0.46109,15.10816
0.21219,790.00000,131.98028,0.48374,0.46109,15.10788
0.21319,790.00000,131.98028,0.48375,0.46109,15.10758
0.21419,790.00000,143.75366,0.48376,0.46109,15.10728
0.21519,790.00000,143.75366,0.48377,0.46109,15.10698
0.21619,790.00000,143.75366,0.48378,0.46109,15.10667
0.21719,790.00000,143.75366,0.48379,0.46109,15.10635
0.21819,790.00000,143.75366,0.48380,0.46109,15.10603
0.21919,790.00000,159.06394,0.48381,0.46109,15.10570
0.22019,790.00000,159.06394,0.48382,0.46109,15.10536
0.22119,790.00000,159.06394,0.48383,0.46109,15.10502
0.22219,790.00000,159.06394,0.48385,0.46109,15.10468
0.22319,790.00000,159.06394,0.48386,0.46109,15.10432
0.22419,790.00000,159.06394,0.48387,0.46109,15.10396
0.22519,790.00000,171.06878,0.48388,0.46109,15.10360
0.22619,790.00000,171.06878,0.48389,0.46109,15.10323
0.22719,790.00000,171.06878,0.48390,0.46109,15.10285
0.22819,790.00000,171.06878,0.48392,0.46109,15.10247
0.22919,790.00000,171.06878,0.48393,0.46109,15.10209
0.23019,790.00000,131.98028,0.48394,0.46109,15.10170
0.23119,790.00000,131.98028,0.48395,0.46109,15.10130
0.23219,790.00000,131.98028,0.48397,0.46109,15.10090
0.23319,790.00000,131.98028,0.48398,0.46109,15.10050
0.23419,790.00000,143.75366,0.48399,0.46109,15.10009
0.23519,790.00000,143.75366,0.48401,0.46109,15.09967
0.23619,790.00000,143.75366,0.48402,0.46109,15.09926
0.23719,790.00000,143.75366,0.48403,0.46109,15.09883
0.23819,790.00000,159.06394,0.48405,0.46109,15.09840
0.23920,790.00000,159.06394,0.48406,0.46109,15.09797
0.24019,790.00000,159.06394,0.48407,0.46109,15.09753
0.24119,790.00000,159.06394,0.48409,0.46109,15.09709
0.24219,790.00000,159.06394,0.48410,0.46109,15.09664
0.24319,790.00000,171.06878,0.48412,0.46109,15.09619
0.24419,790.00000,171.06878,0.48413,0.46109,15.09573
0.24519,790.00000,171.06878,0.48415,0.46109,15.09527
0.24619,790.00000,171.06878,0.48416,0.46109,15.09481
0.24719,790.00000,183.70812,0.48418,0.46109,15.09434
0.24819,790.00000,183.70812,0.48419,0.46109,15.09387
0.24919,790.00000,183.70812,0.48421,0.46109,15.09340
0.25019,790.00000,195.46992,0.48422,0.46109,15.09292
0.25119,790.00000,195.46992,0.48424,0.46109,15.09244
0.25219,790.00000,195.46992,0.48425,0.46109,15.09195
0.25319,790.00000,195.46992,0.48427,0.46109,15.09146
0.25419,790.00000,206.91514,0.48429,0.46109,15.09096
0.25519,790.00000,206.91514,0.48430,0.46109,15.09047
0.25619,790.00000,206.91514,0.48432,0.46109,15.08996
0.25719,790.00000,219.03315,0.48433,0.46109,15.08946
0.25819,790.00000,219.03315,0.48435,0.46109,15.08895
0.25919,790.00000,219.03315,0.48437,0.46109,15.08844
0.26019,790.00000,219.03315,0.48438,0.46109,15.08792
0.26119,790.00000,229.03747,0.48440,0.46109,15.08741
0.26219,790.00000,229.03747,0.48442,0.46109,15.08689
0.26319,790.00000,244.31079,0.48443,0.46109,15.08636
0.26419,790.00000,244.31079,0.48445,0.46109,15.08583
0.26519,790.00000,244.31079,0.48447,0.46109,15.08530
0.26619,790.00000,255.94464,0.48448,0.46109,15.08476
0.26719,790.00000,255.94464,0.48450,0.46109,15.08421
0.26819,790.00000,255.94464,0.48452,0.46109,15.08366
0.26919,790.00000,258.89758,0.48454,0.46109,15.08311
0.27019,790.00000,258.89758,0.48456,0.46109,15.08254
0.27119,790.00000,262.68594,0.48457,0.46109,15.08197
0.27219,790.00000,262.68594,0.48459,0.46109,15.08140
0.27320,790.00000,262.68594,0.48461,0.46109,15.08082
0.27419,790.00000,320.34185,0.48463,0.46109,15.08023
0.27519,790.00000,320.34185,0.48465,0.46109,15.07963
0.27619,790.00000,322.41305,0.48467,0.46109,15.07902
0.27719,790.00000,322.41305,0.48469,0.46109,15.07841
0.27819,790.00000,334.67483,0.48471,0.46109,15.07778
0.27919,790.00000,334.67483,0.48473,0.46109,15.07714
0.28019,790.00000,334.67483,0.48475,0.46109,15.07648
0.28119,790.00000,357.89389,0.48477,0.46109,15.07581
0.28219,790.00000,357.89389,0.48479,0.46109,15.07512
0.28319,790.00000,375.09313,0.48482,0.46109,15.07442
0.28419,790.00000,375.09313,0.48484,0.46109,15.07370
0.28519,790.00000,389.75158,0.48486,0.46109,15.07295
0.28619,790.00000,389.75158,0.48489,0.46109,15.07219
0.28719,790.00000,393.51071,0.48491,0.46109,15.07141
0.28819,790.00000,393.51071,0.48494,0.46109,15.07060
0.28919,790.00000,407.62844,0.48497,0.46109,15.06977
0.29019,790.00000,407.62844,0.48499,0.46109,15.06892
0.29119,790.00000,420.42056,0.48502,0.46109,15.06804
0.29219,790.00000,420.42056,0.48505,0.46109,15.06714
0.29319,790.00000,430.70916,0.48508,0.46109,15.06620
0.29419,790.00000,458.89462,0.48511,0.46109,15.06524
0.29519,790.00000,458.89462,0.48514,0.46109,15.06425
0.29619,790.00000,461.48992,0.48518,0.46109,15.06323
0.29719,790.00000,461.48992,0.48521,0.46109,15.06217
0.29819,790.00000,464.35482,0.48525,0.46109,15.06109
0.29919,790.00000,464.35482,0.48528,0.46109,15.05997
0.30019,790.00000,464.35482,0.48532,0.46109,15.05881
0.30119,790.00000,464.35482,0.48536,0.46109,15.05762
0.30219,790.00000,465.55905,0.48540,0.46109,15.05639
0.30319,790.00000,465.55905,0.48544,0.46109,15.05512
0.30420,790.00000,465.55905,0.48548,0.46109,15.05382
0.30522,790.00000,465.55905,0.48552,0.46109,15.05247
0.30619,790.00000,465.55905,0.48557,0.46109,15.05109
0.30720,790.00000,465.55905,0.48561,0.46109,15.04967
0.30819,790.00000,467.25552,0.48566,0.46109,15.04820
0.30919,790.00000,467.25552,0.48571,0.46109,15.04669
0.31019,790.00000,481.28576,0.48576,0.46109,15.04514
0.31119,790.00000,514.08813,0.48581,0.46109,15.04355
0.31219,790.00000,514.08813,0.48586,0.46109,15.04191
0.31319,790.00000,553.73095,0.48592,0.46109,15.04024
0.31419,790.00000,553.73095,0.48597,0.46109,15.03851
0.31519,790.00000,553.73095,0.48603,0.46109,15.03674
0.31619,790.00000,553.73095,0.48609,0.46109,15.03493
0.31719,790.00000,564.88226,0.48615,0.46109,15.03308
0.31819,790.00000,564.88226,0.48621,0.46109,15.03118
0.31919,790.00000,579.84356,0.48627,0.46109,15.02924
0.32019,790.00000,579.84356,0.48634,0.46109,15.02725
0.32119,790.00000,590.13671,0.48640,0.46109,15.02521
0.32219,790.00000,590.13671,0.48647,0.46109,15.02313
0.32319,790.00000,590.13671,0.48654,0.46109,15.02101
0.32419,790.00000,594.04223,0.48661,0.46109,15.01884
0.32519,790.00000,597.60180,0.48668,0.46109,15.01662
0.32619,790.00000,597.60180,0.48676,0.46109,15.01436
0.32719,790.00000,597.60180,0.48683,0.46109,15.01204
0.32819,790.00000,600.39996,0.48691,0.46109,15.00969
0.32919,790.00000,601.20422,0.48699,0.46109,15.00728
0.33019,790.00000,601.20422,0.48707,0.46109,15.00483
0.33119,790.00000,622.46728,0.48715,0.46109,15.00233
0.33219,790.00000,622.46728,0.48723,0.46109,14.99978
0.33319,790.00000,622.46728,0.48731,0.46109,14.99718
0.33419,790.00000,626.37677,0.48740,0.46109,14.99454
0.33519,790.00000,628.13006,0.48749,0.46109,14.99184
0.33619,790.00000,634.34478,0.48758,0.46109,14.98910
0.33719,790.00000,634.34478,0.48767,0.46109,14.98631
0.33819,790.00000,634.34478,0.48776,0.46109,14.98347
0.33919,790.00000,637.95159,0.48785,0.46109,14.98058
0.34019,790.00000,637.95159,0.48795,0.46109,14.97764
0.34120,790.00000,654.22589,0.48805,0.46109,14.97466
0.34219,790.00000,656.13879,0.48815,0.46109,14.97163
0.34319,790.00000,656.13879,0.48825,0.46109,14.96854
0.34419,790.00000,656.13879,0.48835,0.46109,14.96542
0.34519,790.00000,666.36816,0.48845,0.46109,14.96224
0.34619,790.00000,666.36816,0.48856,0.46109,14.95902
0.34719,790.00000,666.36816,0.48866,0.46109,14.95575
0.34819,790.00000,666.36816,0.48877,0.46109,14.95243
0.34919,790.00000,670.34942,0.48888,0.46109,14.94906
0.35019,790.00000,673.87231,0.48899,0.46109,14.94565
0.35119,790.00000,673.87231,0.48911,0.46109,14.94219
0.35219,790.00000,673.87231,0.48922,0.46109,14.93869
0.35319,790.00000,673.87231,0.48934,0.46109,14.93514
0.35419,790.00000,673.87231,0.48946,0.46109,14.93154
0.35519,790.00000,673.87231,0.48958,0.46109,14.92790
0.35619,790.00000,673.87231,0.48970,0.46109,14.92422
0.35719,790.00000,670.34942,0.48982,0.46109,14.92050
0.35819,790.00000,673.87231,0.48994,0.46109,14.91673
0.35919,790.00000,686.23687,0.49007,0.46109,14.91292
0.36019,790.00000,686.23687,0.49019,0.46109,14.90907
0.36119,790.00000,686.23687,0.49032,0.46109,14.90517
0.36219,790.00000,690.45989,0.49045,0.46109,14.90124
0.36319,790.00000,686.23687,0.49058,0.46109,14.89726
0.36419,790.00000,686.23687,0.49071,0.46109,14.89325
0.36519,790.00000,690.45989,0.49085,0.46109,14.88919
0.36619,790.00000,690.99145,0.49098,0.46109,14.88510
0.36719,790.00000,693.12579,0.49112,0.46109,14.88097
0.36819,790.00000,690.99145,0.49126,0.46109,14.87680
0.36919,790.00000,690.99145,0.49140,0.46109,14.87260
0.37019,790.00000,693.12579,0.49154,0.46109,14.86835
0.37119,790.00000,693.12579,0.49168,0.46109,14.86408
0.37219,790.00000,696.35211,0.49182,0.46109,14.85976
0.37319,790.00000,696.89282,0.49196,0.46109,14.85542
0.37419,790.00000,696.89282,0.49211,0.46109,14.85103
0.37520,790.00000,697.43426,0.49226,0.46109,14.84662
0.37619,790.00000,699.06378,0.49240,0.46109,14.84218
0.37719,790.00000,699.06378,0.49255,0.46109,14.83770
0.37819,790.00000,699.06378,0.49270,0.46109,14.83320
0.37919,790.00000,699.06378,0.49285,0.46109,14.82866
0.38019,790.00000,699.06378,0.49300,0.46109,14.82409
0.38119,790.00000,708.44348,0.49316,0.46109,14.81950
0.38219,790.00000,708.44348,0.49331,0.46109,14.81487
0.38319,790.00000,708.44348,0.49347,0.46109,14.81022
0.38419,790.00000,709.56359,0.49362,0.46109,14.80555
0.38519,790.00000,708.44348,0.49378,0.46109,14.80084
0.38619,790.00000,709.56359,0.49394,0.46109,14.79612
0.38719,790.00000,709.56359,0.49409,0.46109,14.79137
0.38819,790.00000,709.56359,0.49425,0.46109,14.78659
