time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.11532,740,0,0.52256,0.5185,12.85932
0.11632,740,0,0.52256,0.5185,12.85933
0.11732,740,0,0.52256,0.5185,12.85933
0.11832,740,0,0.52256,0.5185,12.85934
0.11932,740,0,0.52256,0.5185,12.85935
0.12032,740,0,0.52256,0.5185,12.85936
0.12132,740,0,0.52256,0.5185,12.85937
0.12232,740,0,0.52256,0.5185,12.85937
0.12332,740,0,0.52256,0.5185,12.85938
0.12432,740,0,0.52256,0.5185,12.85938
0.12532,740,0,0.52256,0.5185,12.85939
0.12632,740,0,0.52256,0.5185,12.85939
0.12732,740,0,0.52256,0.5185,12.85939
0.12832,740,0,0.52256,0.5185,12.85939
0.12932,740,0,0.52256,0.5185,12.85939
0.13032,740,0,0.52256,0.5185,12.85939
0.13132,740,0,0.52256,0.5185,12.85939
0.13232,740,0,0.52256,0.5185,12.85939
0.13332,740,0,0.52256,0.5185,12.85938
0.13432,740,0,0.52256,0.5185,12.85938
0.13532,740,0,0.52256,0.5185,12.85937
0.13632,740,0,0.52256,0.5185,12.85937
0.13732,740,0,0.52256,0.5185,12.85936
0.13832,740,0,0.52256,0.5185,12.85935
0.13932,740,0,0.52256,0.5185,12.85934
0.14032,740,0,0.52256,0.5185,12.85933
0.14132,740,0,0.52256,0.5185,12.85933
0.14232,740,0,0.52256,0.5185,12.85932
0.14332,740,0,0.52256,0.5185,12.85931
0.14432,740,0,0.52256,0.5185,12.85931
0.14532,740,0,0.52256,0.5185,12.8593
0.14632,740,0,0.52256,0.5185,12.8593
0.14732,740,0,0.52256,0.5185,12.8593
0.14832,740,0,0.52256,0.5185,12.8593
0.14932,740,0,0.52256,0.5185,12.8593
0.15032,740,0,0.52256,0.5185,12.8593
0.15132,740,0,0.52256,0.5185,12.8593
0.15232,740,0,0.52256,0.5185,12.8593
0.15332,740,0,0.52256,0.5185,12.85931
0.15432,740,0,0.52256,0.5185,12.85931
0.15532,740,10.3909,0.52256,0.5185,12.85932
0.15632,740,10.3909,0.52256,0.5185,12.85933
0.15735,740,10.3909,0.52256,0.5185,12.85933
0.15832,740,10.3909,0.52256,0.5185,12.85934
0.15932,740,10.3909,0.52256,0.5185,12.85935
0.16032,740,10.3909,0.52256,0.5185,12.85936
0.16132,740,10.3909,0.52256,0.5185,12.85937
0.16232,740,10.3909,0.52256,0.5185,12.85937
0.16332,740,10.3909,0.52256,0.5185,12.85938
0.16432,740,10.3909,0.52256,0.5185,12.85938
0.16532,740,10.3909,0.52256,0.5185,12.85939
0.16632,740,10.3909,0.52256,0.5185,12.85939
0.16732,740,10.3909,0.52256,0.5185,12.85939
0.16832,740,10.3909,0.52256,0.5185,12.85939
0.16932,740,10.3909,0.52256,0.5185,12.85939
0.17032,740,10.3909,0.52256,0.5185,12.85939
0.17132,740,10.3909,0.52256,0.5185,12.85939
0.17232,740,10.3909,0.52256,0.5185,12.85939
0.17332,740,10.3909,0.52256,0.5185,12.85938
0.17432,740,10.3909,0.52256,0.5185,12.85938
0.17532,740,10.3909,0.52256,0.5185,12.85937
0.17632,740,42.49386,0.52256,0.5185,12.85937
0.17732,740,42.49386,0.52256,0.5185,12.85936
0.17832,740,42.49386,0.52256,0.5185,12.85935
0.17932,740,42.49386,0.52256,0.5185,12.85934
0.18032,740,42.49386,0.52256,0.5185,12.85933
0.18132,740,42.49386,0.52256,0.5185,12.85933
0.18232,740,42.49386,0.52256,0.5185,12.85932
0.18332,740,42.49386,0.52256,0.5185,12.85931
0.18432,740,42.49386,0.52256,0.5185,12.85931
0.18532,740,42.49386,0.52256,0.5185,12.8593
0.18632,740,42.49386,0.52256,0.5185,12.8593
0.18732,740,78.93746,0.52256,0.5185,12.8593
0.18832,740,78.93746,0.52256,0.5185,12.8593
0.18932,740,78.93746,0.52256,0.5185,12.8593
0.19032,740,78.93746,0.52256,0.5185,12.8593
0.19132,740,78.93746,0.52256,0.5185,12.8593
0.19232,740,78.93746,0.52256,0.5185,12.8593
0.19332,740,78.93746,0.52256,0.5185,12.85931
0.19432,740,78.93746,0.52256,0.5185,12.85931
0.19532,740,78.93746,0.52256,0.5185,12.85932
0.19632,740,96.51589,0.52256,0.5185,12.85933
0.19732,740,96.51589,0.52256,0.5185,12.85933
0.19832,740,96.51589,0.52256,0.5185,12.85934
0.19932,740,96.51589,0.52256,0.5185,12.85935
0.20032,740,96.51589,0.52256,0.5185,12.85936
0.20132,740,96.51589,0.52256,0.5185,12.85937
0.20232,740,96.51589,0.52256,0.5185,12.85937
0.20332,740,96.51589,0.52256,0.5185,12.85938
0.20432,740,96.51589,0.52256,0.5185,12.85938
0.20532,740,107.98819,0.52256,0.5185,12.85939
0.20632,740,107.98819,0.52256,0.5185,12.85939
0.20732,740,107.98819,0.52256,0.5185,12.85939
0.20832,740,107.98819,0.52256,0.5185,12.85939
0.20932,740,107.98819,0.52256,0.5185,12.85939
0.21032,740,107.98819,0.52256,0.5185,12.85939
0.21132,740,107.98819,0.52256,0.5185,12.85939
0.21232,740,118.76129,0.52256,0.5185,12.85939
0.21332,740,118.76129,0.52256,0.5185,12.85938
0.21432,740,118.76129,0.52256,0.5185,12.85938
0.21532,740,118.76129,0.52256,0.5185,12.85937
0.21632,740,118.76129,0.52256,0.5185,12.85937
0.21732,740,118.76129,0.52256,0.5185,12.85936
0.21832,740,118.76129,0.52256,0.5185,12.85935
0.21932,740,126.47566,0.52256,0.5185,12.85934
0.22032,740,126.47566,0.52256,0.5185,12.85933
0.22132,740,126.47566,0.52256,0.5185,12.85933
0.22232,740,126.47566,0.52256,0.5185,12.85932
0.22332,740,126.47566,0.52256,0.5185,12.85931
0.22432,740,126.47566,0.52256,0.5185,12.85931
0.22532,740,126.47566,0.52256,0.5185,12.8593
0.22632,740,132.663,0.52256,0.5185,12.8593
0.22732,740,132.663,0.52256,0.5185,12.8593
0.22832,740,132.663,0.52256,0.5185,12.8593
0.22932,740,132.663,0.52256,0.5185,12.8593
0.23032,740,132.663,0.52256,0.5185,12.8593
0.23132,740,132.663,0.52256,0.5185,12.8593
0.23232,740,141.35398,0.52256,0.5185,12.8593
0.23332,740,141.35398,0.52256,0.5185,12.85931
0.23432,740,141.35398,0.52256,0.5185,12.85931
0.23532,740,141.35398,0.52256,0.5185,12.85932
0.23632,740,141.35398,0.52256,0.5185,12.85933
0.23732,740,141.35398,0.52256,0.5185,12.85933
0.23832,740,141.35398,0.52256,0.5185,12.85934
0.23932,740,118.76129,0.52256,0.5185,12.85935
0.24032,740,118.76129,0.52256,0.5185,12.85936
0.24132,740,118.76129,0.52256,0.5185,12.85937
0.24232,740,118.76129,0.52256,0.5185,12.85937
0.24332,740,118.76129,0.52256,0.5185,12.85938
0.24432,740,126.47566,0.52256,0.5185,12.85938
0.24532,740,126.47566,0.52256,0.5185,12.85939
0.24632,740,126.47566,0.52256,0.5185,12.85939
0.24732,740,126.47566,0.52256,0.5185,12.85939
0.24832,740,126.47566,0.52256,0.5185,12.85939
0.24932,740,132.663,0.52256,0.5185,12.85939
0.25032,740,132.663,0.52256,0.5185,12.85939
0.25132,740,132.663,0.52256,0.5185,12.85939
0.25232,740,132.663,0.52256,0.5185,12.85939
0.25332,740,132.663,0.52256,0.5185,12.85938
0.25432,740,141.35398,0.52256,0.5185,12.85938
0.25532,740,141.35398,0.52256,0.5185,12.85937
0.25632,740,141.35398,0.52256,0.5185,12.85937
0.25732,740,141.35398,0.52256,0.5185,12.85936
0.25832,740,141.35398,0.52256,0.5185,12.85935
0.25932,740,147.24374,0.52256,0.5185,12.85934
0.26032,740,147.24374,0.52256,0.5185,12.85933
0.26132,740,147.24374,0.52256,0.5185,12.85933
0.26232,740,147.24374,0.52256,0.5185,12.85932
0.26332,740,147.24374,0.52256,0.5185,12.85931
0.26432,740,161.49656,0.52256,0.5185,12.85931
0.26532,740,161.49656,0.52256,0.5185,12.8593
0.26632,740,161.49656,0.52256,0.5185,12.8593
0.26732,740,161.49656,0.52256,0.5185,12.8593
0.26832,740,161.49656,0.52256,0.5185,12.8593
0.26932,740,167.96368,0.52256,0.5185,12.8593
0.27032,740,167.96368,0.52256,0.5185,12.8593
0.27132,740,167.96368,0.52256,0.5185,12.8593
0.27232,740,167.96368,0.52256,0.5185,12.8593
0.27332,740,177.67178,0.52256,0.5185,12.85931
0.27432,740,177.67178,0.52256,0.5185,12.85931
0.27532,740,177.67178,0.52256,0.5185,12.85931
0.27632,740,177.67178,0.52256,0.5185,12.85931
0.27732,740,180.71226,0.52256,0.5185,12.8593
0.27832,740,180.71226,0.52256,0.5185,12.8593
0.27932,740,180.71226,0.52256,0.5185,12.8593
0.28032,740,180.71226,0.52256,0.5185,12.85929
0.28132,740,192.12283,0.52256,0.5185,12.85929
0.28232,740,192.12283,0.52256,0.5185,12.85928
0.28332,740,192.12283,0.52256,0.5185,12.85927
0.28432,740,198.14523,0.52257,0.5185,12.85925
0.28532,740,198.14523,0.52257,0.5185,12.85924
0.28632,740,198.14523,0.52257,0.5185,12.85922
0.28732,740,207.24957,0.52257,0.5185,12.85921
0.28832,740,207.24957,0.52257,0.5185,12.85919
0.28932,740,207.24957,0.52257,0.5185,12.85916
0.29032,740,219.62269,0.52257,0.5185,12.85914
0.29132,740,219.62269,0.52257,0.5185,12.85911
0.29232,740,219.62269,0.52257,0.5185,12.85908
0.29332,740,235.89956,0.52257,0.5185,12.85905
0.29432,740,235.89956,0.52258,0.5185,12.85901
0.29532,740,235.89956,0.52258,0.5185,12.85897
0.29632,740,265.71875,0.52258,0.5185,12.85892
0.29732,740,265.71875,0.52258,0.5185,12.85888
0.29832,740,290.67288,0.52258,0.5185,12.85882
0.29932,740,290.67288,0.52259,0.5185,12.85876
0.30032,740,302.42517,0.52259,0.5185,12.8587
0.30132,740,302.42517,0.52259,0.5185,12.85863
0.30232,740,302.42517,0.52259,0.5185,12.85855
0.30335,740,340.12802,0.5226,0.5185,12.85847
0.30432,740,340.12802,0.5226,0.5185,12.85838
0.30532,740,346.2955,0.5226,0.5185,12.85829
0.30632,740,346.2955,0.52261,0.5185,12.85818
0.30732,740,359.18283,0.52261,0.5185,12.85807
0.30832,740,359.18283,0.52262,0.5185,12.85794
0.30932,740,370.9082,0.52262,0.5185,12.8578
0.31032,740,370.9082,0.52263,0.5185,12.85765
0.31132,740,370.9082,0.52264,0.5185,12.85749
0.31232,740,372.60186,0.52264,0.5185,12.85731
0.31332,740,372.60186,0.52265,0.5185,12.85712
