time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,imu_z,acc_z_d,acc_z_com
44.66899,0.83940,0.61354,-0.64542,-0.14615,0.16430,-0.12657,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49208,829.95336,838.87658,0.60780,12.73571,0.64210,-0.20456,-9.87390,9.82359,9.61903
44.66999,0.83940,0.61354,-0.64542,-0.14615,0.16430,-0.12657,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49208,829.95336,844.40063,0.60780,12.73575,0.64210,-0.20466,-9.87390,9.82359,9.61893
44.67100,0.83940,0.61354,-0.64542,-0.13948,0.17216,-0.12724,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49198,829.94348,844.40063,0.60779,12.73580,0.64210,-0.20479,-9.88813,9.82359,9.61880
44.67200,0.83940,0.61354,-0.64542,-0.13948,0.17216,-0.12724,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49198,829.94348,844.40063,0.60779,12.73585,0.64210,-0.20491,-9.88813,9.82359,9.61867
44.67300,0.83940,0.61354,-0.64542,-0.13819,0.18416,-0.11884,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49194,829.94055,844.40063,0.60778,12.73590,0.64210,-0.20485,-9.79335,9.82359,9.61873
44.67399,0.83940,0.61354,-0.64542,-0.13819,0.18416,-0.11884,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49194,829.94055,844.40063,0.60778,12.73595,0.64210,-0.20479,-9.79335,9.82359,9.61879
44.67499,0.83940,0.61354,-0.64542,-0.14466,0.19149,-0.10631,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49202,829.94757,844.40063,0.60778,12.73601,0.64210,-0.20469,-9.77236,9.82359,9.61889
44.67599,0.83940,0.61354,-0.64542,-0.14466,0.19149,-0.10631,0.04930,-0.01296,1.79826,0.01346,-0.08698,1.92617,-0.00209,0.00551,-0.64349,-0.64210,-4.49202,829.94757,844.40063,0.60778,12.73606,0.64210,-0.20459,-9.77236,9.82359,9.61899
44.67699,-1.57079,1.57079,-0.66289,-0.14782,0.19190,-0.10025,-0.12160,0.09758,1.79826,0.01191,-0.08523,1.92495,0.52290,0.00551,-0.29349,-0.64210,-3.79629,762.97320,838.87658,0.54712,12.73612,0.64210,-0.20766,-9.87373,8.33676,8.12910
44.67800,-1.57079,1.57079,-0.66289,-0.14782,0.19190,-0.10025,-0.12160,0.09758,1.79826,0.01191,-0.08523,1.92495,0.52290,0.00551,-0.29349,-0.64210,-3.79629,762.97320,844.40063,0.54712,12.73619,0.64210,-0.21074,-9.87373,8.33676,8.12602
44.67900,-1.57079,1.57079,-0.66289,-0.14592,0.19611,-0.10066,-0.12160,0.09758,1.79826,0.01191,-0.08523,1.92495,0.52290,0.00551,-0.29349,-0.64210,-3.79338,762.68084,838.87658,0.54685,12.73625,0.64210,-0.21389,-9.91420,8.33676,8.12287
44.68000,-1.57079,1.57079,-0.66289,-0.14592,0.19611,-0.10066,-0.12160,0.09758,1.79826,0.01191,-0.08523,1.92495,0.52290,0.00551,-0.29349,-0.64210,-3.79338,762.68084,836.53112,0.54685,12.73632,0.64210,-0.21705,-9.91420,8.33676,8.11971
